Gebieden,onderwerpen,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Ekeren,Aantal leerlingen gewoon lager onderwijs,1627,1583,1589,1591,1556,1495,1453,1435,1445,1425
Ekeren,Aantal leerlingen buitengewoon lager onderwijs,84,87,81,84,84,96,103,106,102,96
Ekeren,Aantal leerlingen lager onderwijs totaal,1711,1670,1670,1675,1640,1591,1556,1541,1547,1521
Ekeren,Leerlingen basisonderwijs - percentage gewoon lager onderwijs,60.4158931,60.4660046,61.1624326,61.882536,61.7705439,60.2094241,59.3061224,58.3807974,58.5020243,58.3538084
Ekeren,Leerlingen basisonderwijs - percentage buitengewoon lager onderwijs,3.1191979,3.3231474,3.1177829,3.2672112,3.3346566,3.8662908,4.2040816,4.3124491,4.1295547,3.9312039
Ekeren,Leerlingen basisonderwijs - percentage lager onderwijs totaal,63.535091,63.789152,64.2802156,65.1497472,65.1052005,64.0757149,63.5102041,62.6932465,62.6315789,62.2850123
Ekeren,Aantal leerlingen gewoon lager onderwijs zonder schoolse vertraging,1318,1307,1302,1298,1270,1220,1201,1170,1180,1170
Ekeren,Aantal leerlingen gewoon lager onderwijs met 1 jaar schoolse vertraging,196,174,178,193,194,180,167,175,175,182
Ekeren,Aantal leerlingen gewoon lager onderwijs met meer dan 1 jaar schoolse vertraging,28,20,22,19,15,22,20,22,17,18
Ekeren,Aantal leerlingen gewoon lager onderwijs met schoolse vertraging,224,194,200,212,209,202,187,197,192,200
Ekeren,Percentage leerlingen gewoon lager onderwijs zonder schoolse vertraging,85.4734112,87.0752831,86.6844208,85.9602649,85.8688303,85.7946554,86.5273775,85.5888808,86.0058309,85.4014599
Ekeren,Percentage leerlingen gewoon lager onderwijs met 1 jaar schoolse vertraging,12.7107652,11.5922718,11.8508655,12.781457,13.1169709,12.6582278,12.0317003,12.8017557,12.755102,13.2846715
Ekeren,Percentage leerlingen gewoon lager onderwijs met meer dan 1 jaar schoolse vertraging,1.8158236,1.332445,1.4647137,1.2582781,1.0141988,1.5471167,1.4409222,1.6093636,1.2390671,1.3138686
Ekeren,Percentage leerlingen gewoon lager onderwijs met schoolse vertraging,14.5265888,12.9247169,13.3155792,14.0397351,14.1311697,14.2053446,13.4726225,14.4111192,13.9941691,14.5985401
